"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_filters","early_terminate.eta","early_terminate.min_iter","early_terminate.type","learning_rate","loss_visibility_floor","method","metric.goal","metric.name","parameters.base_filterss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.loss_visibility_floor.distribution","parameters.loss_visibility_floor.max","parameters.loss_visibility_floor.min","parameters.vector_loss_weight.distribution","parameters.vector_loss_weight.max","parameters.vector_loss_weight.min","parameters.vector_mask_floor.distribution","parameters.vector_mask_floor.max","parameters.vector_mask_floor.min","parameters.visibility_loss_weight.distribution","parameters.visibility_loss_weight.max","parameters.visibility_loss_weight.min","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","vector_loss_weight","vector_mask_floor","visibility_loss_weight","weight_decay","epoch","train_loss","val_loss"
"decent-sweep-5","","false","finished","-","","","2026-04-22T17:08:39.000Z","1141","4z2bc56q","32","","","","0.00006222827168957465","0.2932777609676584","","","","","","","","","","","","","","","","","","","","","","","1.7016533958797435","0.13490424941905657","0.28714344413839593","0.0014276455104349265","40","0.34017142045195214","0.35583564452826977"
"fancy-sweep-3","","false","finished","-","","","2026-04-22T16:33:49.000Z","1028","4z2bc56q","32","","","","0.00006464062737736544","0.2016980622379902","","","","","","","","","","","","","","","","","","","","","","","1.860165540770272","0.1520199211469421","0.21817892397395172","0.00005431189405583308","40","0.31665109988534823","0.3351219699252397"
"polished-sweep-14","","false","finished","-","","","2026-04-22T18:44:11.000Z","1073","4z2bc56q","32","","","","0.0000415627231789245","0.19543545524800215","","","","","","","","","","","","","","","","","","","","","","","2.116987856388524","0.12574500414819742","0.12177231659021726","0.000011866507864734714","40","0.30306979359011166","0.3143079460132867"
"noble-sweep-6","","false","finished","-","","","2026-04-22T17:27:45.000Z","1039","4z2bc56q","32","","","","0.00004462817001384709","0.22990854146628936","","","","","","","","","","","","","","","","","","","","","","","1.423087573542665","0.093130508140924","0.259483538755781","0.0006031768328238421","40","0.30090855646994896","0.31258521950803697"
"driven-sweep-16","","false","finished","-","","","2026-04-22T19:18:08.000Z","1077","4z2bc56q","32","","","","0.000044394399548107336","0.07339715832651526","","","","","","","","","","","","","","","","","","","","","","","2.0067680117074773","0.14712156926731937","0.13137219718299836","0.000014571999307964831","40","0.291403122828342","0.3045193029101938"
"lunar-sweep-20","","false","finished","-","","","2026-04-22T20:06:10.000Z","474","4z2bc56q","16","","","","0.00005907624493633453","0.08386273462895666","","","","","","","","","","","","","","","","","","","","","","","1.6333955422480844","0.002567038175835523","0.1204986116643148","0.0000019275295572254596","40","0.2594047641614452","0.26643268461339176"
"zany-sweep-15","","false","finished","-","","","2026-04-22T19:02:09.000Z","955","4z2bc56q","32","","","","0.00018880288756142647","0.062484772234935454","","","","","","","","","","","","","","","","","","","","","","","1.641584717810126","0.09342026415792924","0.12043558572200774","0.000007324809890344408","36","0.2358528985932935","0.2546958278398961"
"usual-sweep-8","","false","finished","-","","","2026-04-22T18:02:45.000Z","978","4z2bc56q","32","","","","0.00007066121071500551","0.12830779875400555","","","","","","","","","","","","","","","","","","","","","","","1.3345639170067185","0.1293056174755741","0.12806010481290497","0.00023223577262984","37","0.2170224291330669","0.2294568275101483"
"eager-sweep-18","","false","finished","-","","","2026-04-22T19:42:08.000Z","1077","4z2bc56q","32","","","","0.00008672284709326743","0.21067448104344536","","","","","","","","","","","","","","","","","","","","","","","1.1449579116676454","0.1255737164761936","0.1613828392149411","0.000029166801114333093","40","0.21635494395741264","0.2277900993358344"
"devoted-sweep-7","","false","finished","-","","","2026-04-22T17:45:06.000Z","1055","4z2bc56q","32","","","","0.000043259012022787104","0.13620080938814733","","","","","","","","","","","","","","","","","","","","","","","1.018842978591502","0.12079924287360004","0.15332257002400068","0.00031165818899656257","40","0.20414753636578095","0.21254940540529788"
