"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_filters","early_terminate.eta","early_terminate.min_iter","early_terminate.type","learning_rate","method","metric.goal","metric.name","parameters.base_filterss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.vector_loss_weight.distribution","parameters.vector_loss_weight.max","parameters.vector_loss_weight.min","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","vector_loss_weight","weight_decay","epoch","train_loss","val_loss"
"prime-sweep-15","","false","finished","-","","","2026-03-04T08:18:29.000Z","204","l4zdrf29","16","","","","0.0009724495587325216","","","","","","","","","","","","","","1.0969191658643638","0.0000030257734194282994","31","0.1872471240758896","0.1952402612566948"
"dutiful-sweep-14","","false","finished","-","","","2026-03-04T08:14:04.000Z","260","l4zdrf29","32","","","","0.0000630646695407694","","","","","","","","","","","","","","1.0810400182793622","0.0000014953346956076742","40","0.18693702134490017","0.19303365170955655"
"prime-sweep-13","","false","finished","-","","","2026-03-04T08:09:43.000Z","256","l4zdrf29","16","","","","0.00031565147335741215","","","","","","","","","","","","","","1.3036526236817527","0.0000019525430829184973","40","0.22188692700862883","0.2243207439780235"
"giddy-sweep-12","","false","finished","-","","","2026-03-04T08:06:26.000Z","196","l4zdrf29","32","","","","0.00045690274419299566","","","","","","","","","","","","","","1.2273718003953396","0.0000013503156882292956","30","0.19357128316164016","0.208667551279068"
"quiet-sweep-11","","false","finished","-","","","2026-03-04T08:02:11.000Z","252","l4zdrf29","32","","","","0.00002782647704303928","","","","","","","","","","","","","","1.0489683015366351","0.000003005235693725413","40","0.19453130087256432","0.19465214848518372"
"wild-sweep-10","","false","finished","-","","","2026-03-04T07:58:12.000Z","238","l4zdrf29","32","","","","0.00007478962889560023","","","","","","","","","","","","","","1.2972745129392085","0.0000015673893038283443","37","0.217002685546875","0.2251995822787285"
"vivid-sweep-9","","false","finished","-","","","2026-03-04T07:53:58.000Z","249","l4zdrf29","32","","","","0.000011555036032984604","","","","","","","","","","","","","","1.3695194332065126","0.000003826979850348131","40","0.2611298961043358","0.26095942318439486"
"stellar-sweep-8","","false","finished","-","","","2026-03-04T07:49:48.000Z","248","l4zdrf29","16","","","","0.00004388010955831424","","","","","","","","","","","","","","1.0652730505195989","0.0000030673655081931225","40","0.20562167567014697","0.2053704524040222"
"rosy-sweep-7","","false","finished","-","","","2026-03-04T07:45:39.000Z","247","l4zdrf29","32","","","","0.00004882631636853911","","","","","","","","","","","","","","1.4758168975177797","0.0000028918100548623793","40","0.24991228407621385","0.25288468956947324"
"balmy-sweep-6","","false","finished","-","","","2026-03-04T07:42:12.000Z","204","l4zdrf29","32","","","","0.00008963165876410344","","","","","","","","","","","","","","2.4674096554397096","0.000004040885447772614","33","0.3921826688051224","0.4047986000776291"
"magic-sweep-5","","false","finished","-","","","2026-03-04T07:38:10.000Z","241","l4zdrf29","32","","","","0.00005960946692590221","","","","","","","","","","","","","","2.472287052907509","0.0000063644316554677474","40","0.3913056721687317","0.40801463544368743"
"warm-sweep-4","","false","failed","-","","","2026-03-04T07:36:36.000Z","89","l4zdrf29","8","","","","0.00004029202767654602","","","","","","","","","","","","","","6.539942913821369","0.00011396469878168748","14","1.2762551290988922","1.2704522490501404"
"blooming-sweep-3","","false","finished","-","","","2026-03-04T07:32:33.000Z","242","l4zdrf29","8","","","","0.0005380653717035166","","","","","","","","","","","","","","5.4811132839204575","0.009999224216568924","40","0.886213449716568","0.8922693800926208"
"restful-sweep-2","","false","finished","-","","","2026-03-04T07:28:35.000Z","237","l4zdrf29","16","","","","0.00004839319104052586","","","","","","","","","","","","","","5.7450879779483905","0.00025346976976657615","40","0.9587813832759856","0.9548969590663908"
"lucky-sweep-1","","false","finished","-","","","2026-03-04T07:25:55.000Z","157","l4zdrf29","32","","","","0.00011462911204959946","","","","","","","","","","","","","","5.569165502536906","0.00008765225063037963","26","0.8392108914852142","0.8745309293270112"
